Brand Name,Average Price
iFcane,24.949999999999992
Research in Motion,24.680000000000003
Jersa,24.47837209302326
RomaCostume,23.4
"Quality Technology Industrial Co., ltd.",19.98999999999994
WorryFree Gadgets,19.44
worryfree,19.44
OtterBox,19.00130178996315
H2O,18.99
Ipro,17.99
Sdeals,16.99
Ofeely,16.98999999999996
Crony,16.98
OLA Products,14.99
Junlan,14.985
Rim,14.950000000000001
Consumer Cellular,14.44
The NoPhone,14.4
Docooler,13.770000000000001
DIKOO,13.769999999999998
KROO,12.99
Dell Computers,12.440000000000039
Crown,12.44
mophie,12.091623931623905
LG Electronic,12.0
iDROID USA,11.99
Ultrabox,11.902946428571244
QJO,11.19
"Sanyo, Katana",11.11
Saliency,9.59
Boost Mobile,8.766666666666667
Various,8.323333333333336
CablesOnline,8.19
Eson,7.5
LifeProof,6.990000000000007
LiteFuze,6.990000000000006
Quick-get,6.49
DTECH,6.473684210526319
Sonim,6.28
AT&T,3.99
Verizon,3.5
ATT,2.2900000000000023
